Title,ECR,EPP,Greens/EFA,IDG,NI,REG,S&D,The Left,ECR%,EPP%,Greens/EFA%,IDG%,NI%,REG%,S&D%,The Left%
123,38,23,63,43,18,7,28,30,0.613,0.126,0.851,0.589,0.316,0.065,0.182,0.732
124,2,19,62,42,17,6,28,30,0.032,0.104,0.838,0.575,0.298,0.056,0.182,0.732
125,17,24,70,35,41,15,49,31,0.274,0.132,0.946,0.479,0.719,0.139,0.318,0.756
126,0,1,3,0,7,0,13,9,0.0,0.005,0.041,0.0,0.123,0.0,0.084,0.22
127,26,9,1,61,35,1,0,3,0.419,0.049,0.014,0.836,0.614,0.009,0.0,0.073
128,24,18,3,61,36,2,0,1,0.387,0.099,0.041,0.836,0.632,0.019,0.0,0.024
129,19,19,4,61,38,2,0,1,0.306,0.104,0.054,0.836,0.667,0.019,0.0,0.024
130,20,157,3,59,41,16,4,0,0.323,0.863,0.041,0.808,0.719,0.148,0.026,0.0
131,4,17,68,1,14,5,14,25,0.065,0.093,0.919,0.014,0.246,0.046,0.091,0.61
132,3,16,71,0,12,6,142,31,0.048,0.088,0.959,0.0,0.211,0.056,0.922,0.756
133,5,8,69,0,13,8,141,32,0.081,0.044,0.932,0.0,0.228,0.074,0.916,0.78
134,39,155,70,27,26,101,139,27,0.629,0.852,0.946,0.37,0.456,0.935,0.903,0.659
135,5,147,71,2,17,64,143,31,0.081,0.808,0.959,0.027,0.298,0.593,0.929,0.756
136,15,5,11,43,34,2,5,7,0.242,0.027,0.149,0.589,0.596,0.019,0.032,0.171
137,40,155,67,0,23,104,139,1,0.645,0.852,0.905,0.0,0.404,0.963,0.903,0.024
138,61,162,70,61,55,108,142,33,0.984,0.89,0.946,0.836,0.965,1.0,0.922,0.805
139,57,159,70,41,53,103,144,33,0.919,0.874,0.946,0.562,0.93,0.954,0.935,0.805
140,15,106,71,51,26,89,140,33,0.242,0.582,0.959,0.699,0.456,0.824,0.909,0.805
141,49,146,65,28,42,83,126,32,0.79,0.802,0.878,0.384,0.737,0.769,0.818,0.78
142,18,140,67,5,38,87,130,34,0.29,0.769,0.905,0.068,0.667,0.806,0.844,0.829
143,0,3,66,0,15,5,30,34,0.0,0.016,0.892,0.0,0.263,0.046,0.195,0.829
144,0,1,65,0,15,2,1,32,0.0,0.005,0.878,0.0,0.263,0.019,0.006,0.78
145,0,2,1,1,7,0,2,34,0.0,0.011,0.014,0.014,0.123,0.0,0.013,0.829
146,13,140,67,14,27,84,129,34,0.21,0.769,0.905,0.192,0.474,0.778,0.838,0.829
147,10,82,65,8,22,86,126,34,0.161,0.451,0.878,0.11,0.386,0.796,0.818,0.829
148,51,151,66,26,27,86,39,34,0.823,0.83,0.892,0.356,0.474,0.796,0.253,0.829
149,0,3,1,1,5,0,8,34,0.0,0.016,0.014,0.014,0.088,0.0,0.052,0.829
150,45,148,63,0,18,84,118,33,0.726,0.813,0.851,0.0,0.316,0.778,0.766,0.805
151,3,20,66,8,17,47,105,33,0.048,0.11,0.892,0.11,0.298,0.435,0.682,0.805
152,6,144,64,44,30,22,129,33,0.097,0.791,0.865,0.603,0.526,0.204,0.838,0.805
153,1,7,64,0,17,4,128,33,0.016,0.038,0.865,0.0,0.298,0.037,0.831,0.805
154,1,4,67,1,16,4,132,33,0.016,0.022,0.905,0.014,0.281,0.037,0.857,0.805
155,2,143,67,42,31,24,132,34,0.032,0.786,0.905,0.575,0.544,0.222,0.857,0.829
156,1,3,67,11,17,6,131,34,0.016,0.016,0.905,0.151,0.298,0.056,0.851,0.829
157,1,7,67,39,20,5,131,31,0.016,0.038,0.905,0.534,0.351,0.046,0.851,0.756
158,1,6,5,42,19,7,133,34,0.016,0.033,0.068,0.575,0.333,0.065,0.864,0.829
159,42,152,67,54,29,83,134,34,0.677,0.835,0.905,0.74,0.509,0.769,0.87,0.829
