Title,ECR,EFD/IDG,EPP,Greens/EFA,NI,REG,S&D,The Left,ECR%,EFD/IDG%,EPP%,Greens/EFA%,NI%,REG%,S&D%,The Left%
114,0.0,1.0,3.0,67.0,15.0,4.0,33.0,32.0,0.0,0.014,0.016,0.905,0.263,0.037,0.214,0.78
115,1.0,18.0,27.0,71.0,16.0,21.0,136.0,33.0,0.016,0.247,0.148,0.959,0.281,0.194,0.883,0.805
116,1.0,0.0,10.0,67.0,16.0,3.0,11.0,32.0,0.016,0.0,0.055,0.905,0.281,0.028,0.071,0.78
117,0.0,1.0,0.0,13.0,5.0,1.0,19.0,34.0,0.0,0.014,0.0,0.176,0.088,0.009,0.123,0.829
118,2.0,0.0,3.0,64.0,11.0,4.0,30.0,33.0,0.032,0.0,0.016,0.865,0.193,0.037,0.195,0.805
119,37.0,0.0,21.0,68.0,15.0,5.0,32.0,32.0,0.597,0.0,0.115,0.919,0.263,0.046,0.208,0.78
120,2.0,18.0,17.0,68.0,15.0,3.0,23.0,32.0,0.032,0.247,0.093,0.919,0.263,0.028,0.149,0.78
121,9.0,0.0,30.0,68.0,17.0,7.0,54.0,33.0,0.145,0.0,0.165,0.919,0.298,0.065,0.351,0.805
122,6.0,0.0,6.0,70.0,12.0,2.0,3.0,35.0,0.097,0.0,0.033,0.946,0.211,0.019,0.019,0.854
123,38.0,43.0,23.0,63.0,18.0,7.0,28.0,32.0,0.613,0.589,0.126,0.851,0.316,0.065,0.182,0.78
124,2.0,42.0,19.0,62.0,17.0,6.0,28.0,32.0,0.032,0.575,0.104,0.838,0.298,0.056,0.182,0.78
125,17.0,35.0,24.0,70.0,41.0,15.0,49.0,33.0,0.274,0.479,0.132,0.946,0.719,0.139,0.318,0.805
126,0.0,0.0,1.0,3.0,7.0,0.0,13.0,9.0,0.0,0.0,0.005,0.041,0.123,0.0,0.084,0.22
127,26.0,61.0,9.0,1.0,35.0,1.0,0.0,3.0,0.419,0.836,0.049,0.014,0.614,0.009,0.0,0.073
128,24.0,61.0,18.0,3.0,36.0,2.0,0.0,1.0,0.387,0.836,0.099,0.041,0.632,0.019,0.0,0.024
129,19.0,61.0,19.0,4.0,38.0,2.0,0.0,1.0,0.306,0.836,0.104,0.054,0.667,0.019,0.0,0.024
130,20.0,59.0,157.0,3.0,41.0,16.0,4.0,0.0,0.323,0.808,0.863,0.041,0.719,0.148,0.026,0.0
131,4.0,1.0,17.0,68.0,14.0,5.0,14.0,25.0,0.065,0.014,0.093,0.919,0.246,0.046,0.091,0.61
132,3.0,0.0,16.0,71.0,12.0,6.0,142.0,33.0,0.048,0.0,0.088,0.959,0.211,0.056,0.922,0.805
133,5.0,0.0,8.0,69.0,13.0,8.0,141.0,34.0,0.081,0.0,0.044,0.932,0.228,0.074,0.916,0.829
134,39.0,27.0,155.0,70.0,26.0,101.0,139.0,29.0,0.629,0.37,0.852,0.946,0.456,0.935,0.903,0.707
135,5.0,2.0,147.0,71.0,17.0,64.0,143.0,33.0,0.081,0.027,0.808,0.959,0.298,0.593,0.929,0.805
136,15.0,43.0,5.0,11.0,34.0,2.0,5.0,9.0,0.242,0.589,0.027,0.149,0.596,0.019,0.032,0.22
137,40.0,0.0,155.0,67.0,23.0,104.0,139.0,1.0,0.645,0.0,0.852,0.905,0.404,0.963,0.903,0.024
138,61.0,61.0,162.0,70.0,55.0,108.0,142.0,35.0,0.984,0.836,0.89,0.946,0.965,1.0,0.922,0.854
139,57.0,41.0,159.0,70.0,53.0,103.0,144.0,35.0,0.919,0.562,0.874,0.946,0.93,0.954,0.935,0.854
140,15.0,51.0,106.0,71.0,26.0,89.0,140.0,35.0,0.242,0.699,0.582,0.959,0.456,0.824,0.909,0.854
141,49.0,28.0,146.0,65.0,42.0,83.0,126.0,34.0,0.79,0.384,0.802,0.878,0.737,0.769,0.818,0.829
142,18.0,5.0,140.0,67.0,38.0,87.0,130.0,36.0,0.29,0.068,0.769,0.905,0.667,0.806,0.844,0.878
143,0.0,0.0,3.0,66.0,15.0,5.0,30.0,36.0,0.0,0.0,0.016,0.892,0.263,0.046,0.195,0.878
144,0.0,0.0,1.0,65.0,15.0,2.0,1.0,34.0,0.0,0.0,0.005,0.878,0.263,0.019,0.006,0.829
145,0.0,1.0,2.0,1.0,7.0,0.0,2.0,36.0,0.0,0.014,0.011,0.014,0.123,0.0,0.013,0.878
146,13.0,14.0,140.0,67.0,27.0,84.0,129.0,36.0,0.21,0.192,0.769,0.905,0.474,0.778,0.838,0.878
147,10.0,8.0,82.0,65.0,22.0,86.0,126.0,36.0,0.161,0.11,0.451,0.878,0.386,0.796,0.818,0.878
148,51.0,26.0,151.0,66.0,27.0,86.0,39.0,36.0,0.823,0.356,0.83,0.892,0.474,0.796,0.253,0.878
